mx1,lam1,lam2,xs,xs_err
1.5,0.1,0.08,0.00110474837,8.47502758e-06
1.5,0.1,0.1,0.00160156776,1.22802138e-05
1.5,0.1,0.15,0.0028623260490014,3.4731702062145168e-06
1.5,0.1,0.2,0.0039459448516412,4.797161543302281e-06
1.5,0.1,0.3,0.0054203457532755,6.600998268465608e-06
1.5,0.1,0.4,0.0062623961011715,7.619746796336105e-06
1.5,0.1,0.5,0.00673188719,5.18728367e-05
1.5,0.1,0.6,0.0069320357464674,8.519680732325207e-06
1.5,0.1,0.7,0.0071622349347808,8.797567083908214e-06
1.5,0.1,0.8,0.0073225463954888,9.002548326902464e-06
1.5,0.1,0.9,0.007494575361483,9.203069704138084e-06
1.5,0.1,1.0,0.00772620349,5.9692511e-05
1.5,0.1,2.0,0.0091770425874973,1.85562006625812e-05
1.5,0.15,0.04,0.0003000887672599,9.548173554608398e-07
1.5,0.15,0.06,0.0006794053212681,6.753273438594056e-07
1.5,0.15,0.08,0.0011790709968831,1.4320147355837586e-06
1.5,0.15,0.1,0.001772244153402,2.1539340616959405e-06
1.5,0.15,0.15,0.0035241830074205,4.293077573952289e-06
1.5,0.15,0.2,0.0054277329891022,6.604919588365809e-06
1.5,0.15,0.3,0.0086711011621262,1.0643181808732882e-05
1.5,0.15,0.4,0.0111121305628734,1.362535144792362e-05
1.5,0.15,0.5,0.0127281967102236,1.5643433206234403e-05
1.5,0.15,0.6,0.0138531182530959,1.703776484357253e-05
1.5,0.15,0.7,0.0146439471700769,1.8060293503501417e-05
1.5,0.15,0.8,0.0155149802093556,1.900027272564991e-05
1.5,0.15,0.9,0.0158677787452641,1.9552237172308616e-05
1.5,0.15,1.0,0.0164214730319075,2.0188760408493e-05
1.5,0.15,2.0,0.0204249349939365,4.13018698224456e-05
1.5,0.2,0.04,0.0003076784935496,9.697816007920935e-07
1.5,0.2,0.06,0.0006894771719782,6.851794030053246e-07
1.5,0.2,0.08,0.0012024278252422,1.4651676447153002e-06
1.5,0.2,0.1,0.0018399613658672,2.240463091295524e-06
