sample, xsec [pb], xsec_err [pb]
Signal_2-0_0-3_0-2.0, 0.001445826235316557, 1.8195752455269074e-06
Signal_2-0_0-2_1-0.0, 0.005818443985295742, 7.3667914915799305e-06
Signal_2-0_0-2_0-7.0, 0.0049049864346970415, 6.188428427393319e-06
Signal_2-0_0-2_0-8.0, 0.005225382719216757, 6.615530432555094e-06
Signal_2-0_0-1_0-4.0, 0.0012852575459904084, 1.6094567068500648e-06
Signal_1-5_1-0_0-6.0, 0.07732927565481147, 9.572784602429317e-05
Signal_1-5_0-9_0-2.0, 0.008855609721264559, 1.1018801378874246e-05
Signal_2-0_0-2_0-2.0, 0.00128707468286647, 1.6106704134965684e-06
Signal_1-5_1-0_0-7.0, 0.10163604878679161, 0.00012631269509997907
Signal_2-0_0-2_0-08.0, 0.0002449965219987086, 3.0797136672569167e-07
Signal_2-0_0-3_0-6.0, 0.007336367659257871, 9.268505093010628e-06
Signal_2-0_0-3_0-7.0, 0.008619552159052092, 1.0847046622440012e-05
Signal_2-0_0-4_0-08.0, 0.0002578851534678272, 3.2520641812043767e-07
Signal_2-0_0-3_0-8.0, 0.009703418133151747, 1.2216599950512992e-05
Signal_2-0_0-4_0-1.0, 0.00039876715235033543, 5.042283617350977e-07
Signal_2-0_0-4_0-2.0, 0.0015301081552247997, 1.9333564987206005e-06
Signal_2-0_0-4_0-5.0, 0.0074488234653649265, 9.400838809189372e-06
Signal_2-0_0-4_0-8.0, 0.01365591643986256, 1.7290718600119885e-05
Signal_2-0_0-4_0-4.0, 0.0052372949459860265, 6.623161870286816e-06
Signal_2-0_0-3_0-9.0, 0.010593534986418358, 1.3377339524775984e-05
Signal_2-0_0-4_0-6.0, 0.009684150433372755, 1.2201051883518241e-05
Signal_2-0_0-4_0-3.0, 0.003228905036273975, 4.07439207767857e-06
Signal_2-0_0-6_0-15.0, 0.0009636749695139801, 1.2193931997634127e-06
Signal_2-0_0-5_0-6.0, 0.011397246474468822, 1.4427468783254754e-05
Signal_2-0_0-6_0-08.0, 0.0002774054252621217, 3.506861834002398e-07
Signal_2-0_0-5_0-7.0, 0.01436751331675177, 1.8171422981490592e-05
Signal_2-0_0-5_0-15.0, 0.0009152544778104131, 1.160263803678808e-06
Signal_2-0_0-6_0-3.0, 0.003707754678932917, 4.690867837109476e-06
Signal_2-0_0-4_0-7.0, 0.011762940280854499, 1.4854401297609133e-05
Signal_2-0_0-5_0-2.0, 0.001608163577150087, 2.034379379556773e-06
Signal_2-0_0-08_0-2.0, 0.0006349365818764525, 7.897649434352386e-07
Signal_2-0_0-15_1-0.0, 0.003508934250949311, 4.4177558252407975e-06
Signal_2-0_0-15_0-8.0, 0.003227726663299103, 4.074506647704707e-06
Signal_2-0_0-15_0-2.0, 0.0011089805821472786, 1.3896422526155972e-06
Signal_1-5_0-8_0-5.0, 0.05034469831240627, 6.215033028172481e-05
Signal_2-0_0-15_0-4.0, 0.0023161696256000985, 2.901747637568717e-06
Signal_2-0_0-08_0-7.0, 0.0009829899577508, 1.2385093360011656e-06
Signal_2-0_0-15_0-6.0, 0.002893887697198357, 3.6467700577869792e-06
Signal_1-5_0-9_0-4.0, 0.03477572188758575, 4.409458108734884e-05
Signal_2-0_0-15_0-5.0, 0.0026672721197392867, 3.3447063099255934e-06
Signal_1-5_0-9_0-5.0, 0.052972491723555656, 6.559044123559503e-05
Signal_2-0_0-15_0-9.0, 0.0033543490303282178, 4.237733193596687e-06
Signal_1-5_0-8_0-8.0, 0.11522857018267323, 0.00014300090001174718
Signal_2-0_0-15_0-08.0, 0.00023855491540466633, 2.994255148850863e-07
Signal_2-0_0-15_0-15.0, 0.0007247159486791328, 9.061370339086664e-07
Signal_2-0_0-15_0-1.0, 0.0003605666914695457, 4.519217565026804e-07
Signal_2-0_0-08_0-9.0, 0.0010271598552620237, 1.294069178637115e-06
Signal_1-5_0-9_0-1.0, 0.0022272777240984203, 2.774523192700225e-06
Signal_1-5_0-9_0-9.0, 0.1505274161609748, 0.00019096207041461991
Signal_1-5_0-8_0-7.0, 0.0915000673153157, 0.00011363424183218008
Signal_2-0_0-1_0-15.0, 0.0005886484423104449, 7.307583546380822e-07
Signal_2-0_0-15_0-7.0, 0.0030913503086868843, 3.8889431810292014e-06
Signal_1-5_0-8_0-6.0, 0.06931328716352374, 0.00011185829668959058
Signal_1-5_0-9_0-8.0, 0.1236494852611074, 0.00014911206622915927
Signal_1-5_0-9_0-15.0, 0.005041011419445192, 6.249403832480818e-06
Signal_1-5_0-8_0-9.0, 0.14054312333505398, 0.00017353262971849773
Signal_1-5_0-8_1-0.0, 0.16490672576229903, 0.0002037778949653752
Signal_1-5_0-9_0-08.0, 0.001443792608078014, 1.788505202487246e-06
Signal_1-5_1-0_0-9.0, 0.15866816516809953, 0.00019678658658340913
Signal_1-5_0-9_1-0.0, 0.1774857200068113, 0.0002201690414389949
Signal_1-5_0-9_0-3.0, 0.019918833951094658, 2.4626986089890384e-05
Signal_1-5_0-9_0-6.0, 0.07427024253262113, 9.183236260928769e-05
