stem,hepmc_file,hepmc_size_B,hepmc_size,mc_file,mc_size_B,mc_size,ratio(mc/hepmc),result,reason
zjets.7.45,zjets.7.45.hepmc.gz,3673627515,3.4 GB,zjets.7.45.root,3741392456,3.5 GB,1.0184,O,
zjets.7.46,zjets.7.46.hepmc.gz,3632887057,3.4 GB,zjets.7.46.root,3702514936,3.4 GB,1.0192,O,
zjets.7.47,zjets.7.47.hepmc.gz,3688398419,3.4 GB,zjets.7.47.root,3757995594,3.5 GB,1.0189,O,
zjets.7.48,zjets.7.48.hepmc.gz,3667723502,3.4 GB,zjets.7.48.root,3737270524,3.5 GB,1.0190,O,
zjets.7.49,zjets.7.49.hepmc.gz,3667879163,3.4 GB,zjets.7.49.root,3736102892,3.5 GB,1.0186,O,
zjets.7.5,zjets.7.5.hepmc.gz,3679366100,3.4 GB,zjets.7.5.root,3748489735,3.5 GB,1.0188,O,
zjets.7.50,zjets.7.50.hepmc.gz,3682233332,3.4 GB,zjets.7.50.root,3751076062,3.5 GB,1.0187,O,
zjets.7.51,zjets.7.51.hepmc.gz,3652045544,3.4 GB,zjets.7.51.root,3722727502,3.5 GB,1.0194,O,
zjets.7.52,zjets.7.52.hepmc.gz,3658588304,3.4 GB,zjets.7.52.root,3727809553,3.5 GB,1.0189,O,
zjets.7.53,zjets.7.53.hepmc.gz,3674084247,3.4 GB,zjets.7.53.root,3741659421,3.5 GB,1.0184,O,
zjets.7.54,zjets.7.54.hepmc.gz,3662027517,3.4 GB,zjets.7.54.root,3731765037,3.5 GB,1.0190,O,
zjets.7.55,zjets.7.55.hepmc.gz,3670817094,3.4 GB,zjets.7.55.root,3738499301,3.5 GB,1.0184,O,
zjets.7.56,zjets.7.56.hepmc.gz,3677132495,3.4 GB,zjets.7.56.root,3746476261,3.5 GB,1.0189,O,
zjets.7.57,zjets.7.57.hepmc.gz,3656607146,3.4 GB,zjets.7.57.root,3723761250,3.5 GB,1.0184,O,
